claim_id,claim,disposition,source_basis,technical_note
C028,Pythagorean cup supplies a threshold/reset mechanism,SUPPORTED TRANSLATION,S01 pp.27–29,Useful hysteretic state-machine analogy and physical endpoint.
C029,Bundled SPIR-V is GPU-native intermediate code,SUPPORTED,Package artifacts,"Modules validated for magic, entry, local size and bindings."
C030,Bundled benchmark proves physical GPU speed,SUPPORTED ON NAMED DEVICE,Physical GPU report and raw Windows Vulkan runs,Direct device-local Vulkan execution was validated on the local RTX 5070 Ti Laptop GPU; results do not generalize to other devices.
C031,G32/E16 halves dense record memory versus G64/E32,SUPPORTED,Package benchmark/spec,48 vs 96 bytes per candidate.
C032,G32/E16 is necessarily faster,REJECTED,Package benchmark,Packed decode was slower on the validation device.
C033,Evaluate+commit has no cost,REJECTED,Package benchmark,Atomic commit approximately doubles p50 on largest G64 batch.
C034,Verified-event compaction can reduce output memory by observed yield,SUPPORTED AND MEASURED,Physical GPU report and subgroup compact runs,"Subgroup/workgroup compact E16 output was validated and timed; 4.7488% yield produced a 21.058x logical output-stream reduction, while a zero-overflow 6.25%-capacity FIFO produced a measured 16x output-allocation reduction at N=4194304."
C035,A one-fetch confidence LUT is necessarily faster than direct exp2 or the smaller two-fetch LUT,REJECTED ON NAMED DEVICE,Physical GPU report and balanced LUT-pair runs,"The 16 KiB interval-pair LUT removed one dynamic texture fetch and improved some small/mid-size cases, but did not provide a stable end-to-end advantage; direct exp2 remains the recommended path for this exact kernel."
C036,Pre-thresholding the monotonic confidence predicate provides a universal material speedup,SUPPORTED WITH NARROW BOUNDS,Physical GPU report and balanced pre-threshold runs,"It moved exp2 to verified lanes and improved append-only paired medians by 1.0-4.5% at smaller/mid sizes, but converged to +0.03% at N=4194304 and gave no consistent counted-path advantage."
C037,A 128-byte log-threshold LUT is the cause of the G24 hot-state speedup,REJECTED ON NAMED DEVICE,Physical GPU report and balanced G24 control/boundary runs,"The same-layout direct decoder was faster below L2 and tied the LUT when bandwidth-bound; the 24-byte record reduced state-plus-output allocation 1.32x, measured 1.306x append and 1.312x counted speedups at N=4194304, and displaced the narrow residency cliff by the expected footprint ratio."
C038,Splitting lineage into a cold stream makes the total state record 20 bytes,REJECTED; LOCALITY BENEFIT MEASURED,Physical GPU yield/compression report and isolated balanced cold-lineage runs,"The hot geometry/meta stride is 20 bytes but a separate 4-byte lineage value remains allocated per candidate, so total state storage stays 24 bytes. At N=4194304 the split measured 1.108x append and 1.110x counted throughput versus G24 because only verified lanes logically load lineage; exact cache-sector traffic remains unmeasured."
C039,The measured G20 append gain comes from lower register or shared-memory use,REJECTED ON NAMED DEVICE,Native pipeline-executable statistics in the isolated cold-lineage aggregate,"The NVIDIA driver reports 22 registers, 2052 bytes shared memory and a 3456-byte executable for both G24 and G20 append kernels across all six captures. The timing difference is therefore consistent with locality/traffic rather than lower reported compute-resource use."
C040,Putting a packed LUT behind the texture-buffer path provides an additional effective cache-capacity tier,REJECTED ON NAMED DEVICE,Physical GPU report and balanced byte-identical texture/SSBO controls,"Random texture/SSBO throughput ratios are 0.989x, 1.002x, 1.000x and 1.000x at 16, 32, 64 and 128 MiB. Both paths lose about 79.36% from 32 to 64 MiB, so texelFetch does not bypass the shared lower cache/memory bottleneck for this workload."
C041,The native dependent-load sweep locates an effective random working-set transition immediately above the reported 36 MiB L2 capacity,SUPPORTED ON NAMED DEVICE WITH OBSERVABILITY BOUNDS,Physical GPU report and four isolated shader-clock runs,"Random control-subtracted time is flat through 36 MiB, rises 1.242x at 38 MiB and 2.134x at 40 MiB, and reaches 4.714x at 64 MiB relative to 36 MiB. VK_KHR_shader_clock units are implementation-defined and 65536 in-flight chains expose scheduling, so these values are not labelled hardware cycles, nanoseconds, raw single-load latency, or cache-hit rate."
C042,The native L2/global dependent path has a measured cycle-domain hot-versus-post-eviction cost on the named GPU,SUPPORTED ON NAMED DEVICE WITH WARP-EXPOSURE BOUNDS,Physical GPU report and four isolated CUDA clock64 runs,"Native sm_120 SASS uses CS2R SR_CLOCKLO and LDG.E.STRONG.GPU with zero spills. Across 4-128 MiB tables, immediate-hot dependent warp steps measure 399.569 cycles and post-256-MiB-eviction steps measure 1087.789 cycles at the median of size medians, a 2.722x ratio. clock64 includes time slicing and each warp step can service 32 random sectors, so this is not scalar transaction latency."
C043,Keeping the concurrent random hot working set at or below the named GPU's reported L2 capacity preserves materially higher requested-load throughput,SUPPORTED ON NAMED DEVICE WITH LOGICAL-THROUGHPUT BOUNDS,Physical GPU report and four isolated CUDA concurrency runs,"At the occupancy-query ceiling of 1104 independent warps, immediate-hot requested throughput is 43.215 Gload/s at 36 MiB and 23.683 Gload/s at 40 MiB, a 45.20% drop immediately beyond nominal L2; 64 and 128 MiB reach 9.357 and 7.524 Gload/s. All 240 raw rows and 74,678,400 payloads validate. Gload/s counts logical u32 requests rather than physical cache sectors or DRAM transactions."
C044,A native texture-object path gives the packed random dependent LUT additional effective cache capacity beyond the L2/global path,REJECTED ON NAMED DEVICE,Physical GPU report and four isolated CUDA texture/global runs,"Native SASS uses TLD.LZ for texture and LDG.E.STRONG.GPU for global. At full occupancy their median hot-rate ratio across 4-128 MiB is 0.99949x; from 36 to 40 MiB global loses 45.159% and texture loses 45.246%. At one warp texture is 13.65% slower. All 256 raw rows and 98,426,880 payloads validate."
C045,Dense 6-bit log-code packing realizes the calculated 2.667x cache-resident capacity increase with near-slot throughput on the native texture path,SUPPORTED ON NAMED DEVICE WITH LOGICAL-THROUGHPUT BOUNDS,Physical GPU report and four isolated CUDA packed-log-LUT runs,"At full occupancy slot16 holds 18,874,368 codes in 36 MiB at 43.192 Glookup/s through TLD; packed6 holds 50,331,648 codes in the same bytes at 42.594 Glookup/s, exactly 2.667x capacity for a 1.39% rate loss. The packed texture path falls 45.05% at 40 MiB, retaining the shared L2 boundary. All 704 raw rows and 270,673,920 payloads validate, including 92,390,031,360 per-load code checks. Glookup/s is logical and hardware counters remain unavailable."
C046,Strictly dependent isolated random u32 pointers consume an effective 128-byte L2 residency unit on the named workload,SUPPORTED ON NAMED DEVICE WITH WORKLOAD AND PHYSICAL-LINE BOUNDS,Physical GPU report and eight isolated CUDA sparse-stride runs,"At full occupancy the approximately 43.0 Gload/s hot plateau holds 1,179,648 nodes at 32-byte spacing, 589,824 at 64 bytes and 294,912 at 128 or 256 bytes, a 4:2:1 capacity ratio. The 256-byte allocation tracks the 128-byte rate curve despite 2x allocation, while the 589,824-node 128-byte case reaches only 0.3296x of the hot anchor and rejects a 64-byte model. All 1,448 rows validate and the complete measured kernels execute 366,678,638,592 dependent loads. This is specific to the dependent pointer chase and is not a universal per-code charge or counter-derived physical cache line/sector size."
C047,The dependent pointer chase's 128-byte effective residency is a universal per-code cost for independently scheduled packed-LUT lookups,REJECTED ON NAMED DEVICE,Physical GPU report and eight isolated CUDA packed-LUT line-occupancy runs,"With one useful code in each aligned 128-byte region, a 40 MiB allocation retains 99.02% of its 28 MiB texture rate instead of cliffing immediately above the reported 36 MiB L2. Across 1-170 useful codes, 36 MiB sustains 42.437-43.010 Glookup/s while 40 MiB changes progressively with the exact probability of touching each 32-byte address region. All 1,792 rows validate and the timed kernels execute 453,790,138,368 code lookups. Address spans are arithmetic, not counter-measured hardware sectors."
C048,Independent sparse packed-LUT throughput requires separate resident-data containing-line-address and address-span terms,SUPPORTED ON NAMED DEVICE WITH MODEL AND COUNTER BOUNDS,Physical GPU report plus eight sparse-address runs and four one-code refinement runs,"At fixed 40 MiB allocation/327,680 aligned 128-byte lines, requesting four/two/one 32-byte portions per line sustains 23.343/38.505/42.802 Glookup/s. At fixed 12 MiB requested data, spreading over 98,304/196,608/393,216 lines changes rate from 43.214/43.207 to 28.119 Glookup/s. Doubling address span at equal data and line count adds a strongest-near-transition penalty. All 1,408 sparse-address and 144 refinement rows validate. Terms describe controlled layouts and timing, not privileged NVIDIA sectors, tags, sets, partitions or TLB events."
C049,Independent sparse packed-LUT full-rate address reach transitions between 252 and 256 MiB on the named workload,SUPPORTED ON NAMED DEVICE WITH ADDRESS-MODEL AND COUNTER BOUNDS,Physical GPU report and page-span page-stride plus stride-skew runs,"At fixed 131,072 useful words/containing test lines, 2,016/2,048/2,080-byte pitch spans 252/256/260 MiB and sustains 42.178/34.318/32.546 Glookup/s globally with texture agreeing at 42.194/34.454/32.778. Exact 4-KiB spacing independently reproduces the 256-MiB loss. Three corpora contain 2,592 valid rows and 656,375,021,568 timed lookups. Timing bounds an address-distribution resource but cannot identify TLB entries, page size, set mapping, partitions or page walks."
C050,Exact power-of-two sparse-LUT pitch can create native texture-path aliasing removable by one 32-byte stride skew,SUPPORTED ON NAMED DEVICE WITH INDEX-MODEL AND COUNTER BOUNDS,Physical GPU report and four stride-skew runs,"At target 7 MiB, 992/1,024/1,056-byte pitch gives 42.802/28.621/43.007 Glookup/s through TLD while LDG remains 42.792/42.792/42.807. At target 8 MiB, texture reaches 42.805/26.494/42.775 for 480/512/544-byte pitch. Larger padded layouts outperform the exact power-of-two case, rejecting monotonic span/page-count causation for this component. The result does not declare physical set, bank or partition mapping."
C051,The sparse-LUT 248-256 MiB throughput transition survives with constant 2 MiB physical backing,SUPPORTED ON NAMED DEVICE WITH VIRTUAL-ADDRESS AND COUNTER BOUNDS,Physical GPU report and four CUDA VMM-alias runs,"Every virtual slot aliases one 2 MiB device-local allocation while both native paths share the exact mapping. At 1,104 warps global/texture sustain 42.975/42.838 Glookup/s at 240 MiB and fall to 39.523/39.539 at 248 MiB, 35.663/35.687 at 252 MiB and 34.439/34.456 at 256 MiB. Fixed-alias pitch sweeps reproduce the loss. All 368 rows and 77,657,538,560 timed lookups validate. This proves a virtual-address distribution/reach effect for the workload but does not identify hardware page size, TLB entries, page walks, sets or partitions."
C052,CUDA grants an explicitly requested generic-compressible device-local VMM allocation on the named GPU,SUPPORTED ON NAMED DEVICE WITH PROPERTY BOUNDS,Physical GPU report and native VMM compression probe,"The device capability bit is true; request enum 0 returns effective 0 and request enum 1 returns effective 1 through cuMemGetAllocationPropertiesFromHandle. Both 2 MiB handles create, map, accept a complete fill and verify first/last-word readback. The property does not report achieved compression ratio or compressed bytes."
C053,CUDA generic compression adds effective cache capacity to the tested information-bearing periodic or entropy-dense packed6 LUT,REJECTED ON NAMED DEVICE,Physical GPU report and four paired VMM compression-LUT runs,"Across 4-128 MiB at 1,104 warps, median generic/non-compressible hot-rate ratios are 0.99999/1.00001x for periodic global/texture and 1.00003/1.00005x for entropy-dense global/texture. Both retain the 36-40 MiB cliff. Compression modes coexist and alternate each sample; every handle reports the requested effective property."
C054,CUDA generic compression expands the all-zero packed6 throughput-equivalent allocation capacity through 240 MiB,SUPPORTED ON NAMED DEVICE WITH ZERO-ENTROPY AND COUNTER BOUNDS,Physical GPU report and four primary plus four zero-span VMM compression runs,"The generic-compressible global path sustains 38.498-38.650 Glookup/s from 36 through 240 MiB, holding 335,544,320 zero codes versus the 50,331,648-code 36 MiB baseline: a 6.667x throughput-equivalent allocation bound. It falls to 28.823 at 248 MiB and 4.748 at 320 MiB. The separate all-one global control supplies nonzero semantic corroboration. This is not a measured physical compression ratio and zero data carries no useful code information."
C055,CUDA generic compression expands the all-one packed6 throughput-equivalent allocation capacity through 240 MiB,SUPPORTED ON NAMED DEVICE WITH CONSTANT-CONTENT AND COUNTER BOUNDS,Physical GPU report and four all-one global VMM compression runs,"Every logical code is 63 and every packed word is 0xFFFFFFFF. The generic-compressible global path sustains 38.603-38.652 Glookup/s from 36 through 240 MiB versus 7.004 non-compressible at 240 MiB; it falls to 28.834 at 248 MiB and 5.961 at 320 MiB. All 96 rows and 101,744,640 payloads validate with zero code mismatches. This supports a constant-pattern class, not arbitrary useful-data compression or a physical byte ratio."
C056,The exceptionally fast all-zero texture-object curve is valid decoded-throughput or cache-capacity evidence,REJECTED BY NONZERO SENTINEL,Physical GPU report plus texture alignment and constant mismatch controls,"A 174-210 MiB sweep finds an exact three-MiB rate rhythm and one 12-byte group changes rate by up to 19.2x, but all-one texture rows have zero valid timed payloads while all-one global and periodic/entropy texture rows validate. The mismatch probe finds 35,893,872/36,175,872 wrong codes at 4 MiB and 22,609,920/36,175,872 at 192 MiB. A zero expected value masks the failure, so zero-texture rates are excluded from compression and capacity claims."
